State,Rank,Value,Lat,Long,PovRank,ViolentCrimeRank,FoodDesertRank,CollegeRank
Alabama,46,-0.59,32.31823,-86.902298,5,7,28,44
Alaska,29,0.007,61.5,-153.369141,16,1,2,28
Arizona,32,-0.098,34.048927,-111.093735,13,10,20,31
Arkansas,48,-0.678,34.799999,-92.199997,6,4,30,48
California,20,0.196,36.778259,-119.417931,19,13,48,15
Colorado,9,0.538,39.113014,-105.358887,43,19,36,2
Connecticut,4,0.675,41.599998,-72.699997,34,45,6,5
Delaware,23,0.142,39,-75.5,47,16,24,25
Florida,33,-0.101,27.994402,-81.760254,11,21,22,26
Georgia,38,-0.278,33.247875,-83.441162,10,26,4,21
Hawaii,7,0.622,19.741755,-155.844437,39,38,13,18
Idaho,22,0.147,44.068203,-114.742043,24,40,19,39
Illinois,26,0.049,40,-89,31,18,44,12
Indiana,36,-0.224,40.273502,-86.126976,23,23,26,41
Iowa,11,0.431,42.032974,-93.581543,46,37,38,36
Kansas,24,0.078,38.5,-98,30,15,17,17
Kentucky,44,-0.493,37.839333,-84.27002,7,42,45,46
Louisiana,50,-0.969,30.39183,-92.329102,1,6,15,47
Maine,14,0.391,45.367584,-68.972168,18,50,47,24
Maryland,10,0.444,39.045753,-76.641273,49,11,37,4
Massachusetts,2,0.712,42.407211,-71.382439,38,27,11,1
Michigan,34,-0.186,44.182205,-84.506836,29,14,35,32
Minnesota,5,0.652,46.39241,-94.63623,45,41,10,11
Mississippi,49,-0.915,33,-90,2,36,21,49
Missouri,39,-0.283,38.573936,-92.60376,21,8,23,33
Montana,28,0.033,46.96526,-109.533691,35,22,27,23
Nebraska,17,0.325,41.5,-100,28,34,39,19
Nevada,37,-0.249,39.876019,-117.224121,15,5,29,45
New Hampshire,1,0.723,44,-71.5,50,48,8,9
New Jersey,13,0.395,39.833851,-74.871826,42,44,32,3
New Mexico,42,-0.355,34.307144,-106.018066,3,2,3,38
New York,21,0.181,43,-75,20,25,50,8
North Carolina,30,-0.03,35.782169,-80.793457,8,24,33,20
North Dakota,16,0.348,47.650589,-100.437012,27,35,7,30
Ohio,41,-0.326,40.367474,-82.996216,17,32,25,35
Oklahoma,47,-0.601,36.084621,-96.921387,14,12,16,43
Oregon,19,0.223,44,-120.5,33,33,46,16
Pennsylvania,27,0.037,41.203323,-77.194527,25,29,42,22
Rhode Island,12,0.403,41.700001,-71.5,37,43,31,14
South Carolina,40,-0.308,33.836082,-81.163727,9,9,9,37
South Dakota,25,0.073,44.5,-100,32,20,1,34
Tennessee,43,-0.442,35.860119,-86.660156,22,3,12,40
Texas,35,-0.201,31,-100,12,17,14,27
Utah,6,0.63,39.41922,-111.950684,48,39,18,13
Vermont,3,0.695,44,-72.699997,41,49,49,7
Virginia,15,0.371,37.926868,-78.024902,36,47,43,6
Washington,8,0.596,47.751076,-120.740135,40,28,34,10
West Virginia,45,-0.559,39,-80.5,4,31,41,50
Wisconsin,18,0.3,44.5,-89.5,44,30,40,29
Wyoming,31,-0.069,43.07597,-107.290283,26,46,5,42
